Input_Type,Extracted_Text,Language,Audio_File_Name,Text_Length
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_89.mp3,125
Image_Text,Education technology enhances remote learning.,English,output_90.mp3,112
PDF_Text,Education technology enhances remote learning.,English,output_91.mp3,29
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_92.mp3,35
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_93.mp3,33
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_94.mp3,58
Typed_Text,Text to Speech systems improve accessibility.,English,output_95.mp3,47
Image_Text,Text to Speech systems improve accessibility.,English,output_96.mp3,109
Image_Text,Healthcare systems rely on predictive analytics.,English,output_97.mp3,34
PDF_Text,Financial markets react to global events.,English,output_98.mp3,124
Image_Text,Artificial Intelligence is transforming the world.,English,output_99.mp3,31
Typed_Text,Machine learning models require clean data.,English,output_100.mp3,77
Image_Text,Healthcare systems rely on predictive analytics.,English,output_101.mp3,27
Image_Text,Machine learning models require clean data.,English,output_102.mp3,66
Typed_Text,Machine learning models require clean data.,English,output_103.mp3,82
Typed_Text,Text to Speech systems improve accessibility.,English,output_104.mp3,94
Typed_Text,Education technology enhances remote learning.,English,output_105.mp3,55
Image_Text,Optical Character Recognition extracts text from images.,English,output_106.mp3,31
Typed_Text,Artificial Intelligence is transforming the world.,English,output_107.mp3,25
PDF_Text,Machine learning models require clean data.,English,output_108.mp3,41
Typed_Text,Optical Character Recognition extracts text from images.,English,output_109.mp3,66
Image_Text,Optical Character Recognition extracts text from images.,English,output_110.mp3,59
PDF_Text,Financial markets react to global events.,English,output_111.mp3,81
Typed_Text,Education technology enhances remote learning.,English,output_112.mp3,35
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_113.mp3,120
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_114.mp3,62
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_115.mp3,91
Image_Text,Artificial Intelligence is transforming the world.,English,output_116.mp3,111
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_117.mp3,42
Image_Text,Financial markets react to global events.,English,output_118.mp3,145
Image_Text,Financial markets react to global events.,English,output_119.mp3,41
Image_Text,Optical Character Recognition extracts text from images.,English,output_120.mp3,61
Typed_Text,Education technology enhances remote learning.,English,output_121.mp3,148
Typed_Text,Machine learning models require clean data.,English,output_122.mp3,80
Typed_Text,Optical Character Recognition extracts text from images.,English,output_123.mp3,40
Image_Text,Financial markets react to global events.,English,output_124.mp3,70
Typed_Text,Machine learning models require clean data.,English,output_125.mp3,54
Typed_Text,Machine learning models require clean data.,English,output_126.mp3,42
PDF_Text,Machine learning models require clean data.,English,output_127.mp3,100
Typed_Text,Education technology enhances remote learning.,English,output_128.mp3,57
PDF_Text,Text to Speech systems improve accessibility.,English,output_129.mp3,46
Typed_Text,Optical Character Recognition extracts text from images.,English,output_130.mp3,92
Typed_Text,Text to Speech systems improve accessibility.,English,output_131.mp3,132
Typed_Text,Financial markets react to global events.,English,output_132.mp3,70
PDF_Text,Optical Character Recognition extracts text from images.,English,output_133.mp3,82
PDF_Text,Education technology enhances remote learning.,English,output_134.mp3,67
Typed_Text,Machine learning models require clean data.,English,output_135.mp3,129
PDF_Text,Artificial Intelligence is transforming the world.,English,output_136.mp3,36
Image_Text,Artificial Intelligence is transforming the world.,English,output_137.mp3,148
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_138.mp3,119
PDF_Text,Optical Character Recognition extracts text from images.,English,output_139.mp3,87
Typed_Text,Artificial Intelligence is transforming the world.,English,output_140.mp3,93
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_141.mp3,92
Typed_Text,Machine learning models require clean data.,English,output_142.mp3,89
PDF_Text,Artificial Intelligence is transforming the world.,English,output_143.mp3,131
Typed_Text,Machine learning models require clean data.,English,output_144.mp3,53
Typed_Text,Education technology enhances remote learning.,English,output_145.mp3,99
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_146.mp3,148
Image_Text,Text to Speech systems improve accessibility.,English,output_147.mp3,136
PDF_Text,Machine learning models require clean data.,English,output_148.mp3,111
Typed_Text,Artificial Intelligence is transforming the world.,English,output_149.mp3,91
Image_Text,Healthcare systems rely on predictive analytics.,English,output_150.mp3,104
Typed_Text,Financial markets react to global events.,English,output_151.mp3,84
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_152.mp3,24
PDF_Text,Education technology enhances remote learning.,English,output_153.mp3,83
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_154.mp3,84
Typed_Text,Financial markets react to global events.,English,output_155.mp3,34
PDF_Text,Machine learning models require clean data.,English,output_156.mp3,137
PDF_Text,Optical Character Recognition extracts text from images.,English,output_157.mp3,57
PDF_Text,Machine learning models require clean data.,English,output_158.mp3,83
Image_Text,Machine learning models require clean data.,English,output_159.mp3,146
PDF_Text,Text to Speech systems improve accessibility.,English,output_160.mp3,60
Image_Text,Optical Character Recognition extracts text from images.,English,output_161.mp3,143
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_162.mp3,145
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_163.mp3,118
Typed_Text,Text to Speech systems improve accessibility.,English,output_164.mp3,122
Typed_Text,Financial markets react to global events.,English,output_165.mp3,96
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_166.mp3,29
PDF_Text,Machine learning models require clean data.,English,output_167.mp3,24
Typed_Text,Financial markets react to global events.,English,output_168.mp3,67
Typed_Text,Financial markets react to global events.,English,output_169.mp3,133
Image_Text,Text to Speech systems improve accessibility.,English,output_170.mp3,34
Typed_Text,Optical Character Recognition extracts text from images.,English,output_171.mp3,142
Typed_Text,Education technology enhances remote learning.,English,output_172.mp3,128
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_173.mp3,33
Image_Text,Text to Speech systems improve accessibility.,English,output_174.mp3,86
Typed_Text,Text to Speech systems improve accessibility.,English,output_175.mp3,80
Typed_Text,Optical Character Recognition extracts text from images.,English,output_176.mp3,82
Image_Text,Machine learning models require clean data.,English,output_177.mp3,126
PDF_Text,Text to Speech systems improve accessibility.,English,output_178.mp3,95
Typed_Text,Optical Character Recognition extracts text from images.,English,output_179.mp3,124
Typed_Text,Optical Character Recognition extracts text from images.,English,output_180.mp3,79
Image_Text,Financial markets react to global events.,English,output_181.mp3,101
Typed_Text,Artificial Intelligence is transforming the world.,English,output_182.mp3,55
Image_Text,Machine learning models require clean data.,English,output_183.mp3,145
PDF_Text,Education technology enhances remote learning.,English,output_184.mp3,61
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_185.mp3,140
Image_Text,Healthcare systems rely on predictive analytics.,English,output_186.mp3,37
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_187.mp3,141
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_188.mp3,39
Image_Text,Healthcare systems rely on predictive analytics.,English,output_189.mp3,119
Typed_Text,Machine learning models require clean data.,English,output_190.mp3,108
PDF_Text,Artificial Intelligence is transforming the world.,English,output_191.mp3,63
Image_Text,Machine learning models require clean data.,English,output_192.mp3,34
Typed_Text,Optical Character Recognition extracts text from images.,English,output_193.mp3,138
Image_Text,Text to Speech systems improve accessibility.,English,output_194.mp3,124
PDF_Text,Artificial Intelligence is transforming the world.,English,output_195.mp3,25
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_196.mp3,31
Typed_Text,Machine learning models require clean data.,English,output_197.mp3,93
PDF_Text,Machine learning models require clean data.,English,output_198.mp3,66
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_199.mp3,94
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_200.mp3,39
Image_Text,Education technology enhances remote learning.,English,output_201.mp3,42
Image_Text,Text to Speech systems improve accessibility.,English,output_202.mp3,85
Image_Text,Artificial Intelligence is transforming the world.,English,output_203.mp3,109
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_204.mp3,96
Typed_Text,Optical Character Recognition extracts text from images.,English,output_205.mp3,131
Image_Text,Optical Character Recognition extracts text from images.,English,output_206.mp3,103
Image_Text,Machine learning models require clean data.,English,output_207.mp3,90
Typed_Text,Optical Character Recognition extracts text from images.,English,output_208.mp3,42
Image_Text,Education technology enhances remote learning.,English,output_209.mp3,59
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_210.mp3,97
Image_Text,Optical Character Recognition extracts text from images.,English,output_211.mp3,131
Image_Text,Financial markets react to global events.,English,output_212.mp3,28
PDF_Text,Artificial Intelligence is transforming the world.,English,output_213.mp3,87
PDF_Text,Artificial Intelligence is transforming the world.,English,output_214.mp3,134
PDF_Text,Artificial Intelligence is transforming the world.,English,output_215.mp3,105
PDF_Text,Optical Character Recognition extracts text from images.,English,output_216.mp3,85
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_217.mp3,25
Typed_Text,Artificial Intelligence is transforming the world.,English,output_218.mp3,44
Typed_Text,Optical Character Recognition extracts text from images.,English,output_219.mp3,25
Image_Text,Artificial Intelligence is transforming the world.,English,output_220.mp3,36
Image_Text,Text to Speech systems improve accessibility.,English,output_221.mp3,88
Typed_Text,Financial markets react to global events.,English,output_222.mp3,128
PDF_Text,Machine learning models require clean data.,English,output_223.mp3,125
PDF_Text,Education technology enhances remote learning.,English,output_224.mp3,45
Typed_Text,Artificial Intelligence is transforming the world.,English,output_225.mp3,111
PDF_Text,Financial markets react to global events.,English,output_226.mp3,114
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_227.mp3,139
Image_Text,Education technology enhances remote learning.,English,output_228.mp3,106
Image_Text,Healthcare systems rely on predictive analytics.,English,output_229.mp3,53
Typed_Text,Education technology enhances remote learning.,English,output_230.mp3,30
Typed_Text,Machine learning models require clean data.,English,output_231.mp3,64
Typed_Text,Text to Speech systems improve accessibility.,English,output_232.mp3,29
Image_Text,Financial markets react to global events.,English,output_233.mp3,102
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_234.mp3,88
PDF_Text,Text to Speech systems improve accessibility.,English,output_235.mp3,103
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_236.mp3,133
Image_Text,Text to Speech systems improve accessibility.,English,output_237.mp3,134
Typed_Text,Machine learning models require clean data.,English,output_238.mp3,113
Image_Text,Text to Speech systems improve accessibility.,English,output_239.mp3,119
Image_Text,Financial markets react to global events.,English,output_240.mp3,36
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_241.mp3,74
Image_Text,Machine learning models require clean data.,English,output_242.mp3,128
Image_Text,Financial markets react to global events.,English,output_243.mp3,93
Typed_Text,Machine learning models require clean data.,English,output_244.mp3,121
Typed_Text,Artificial Intelligence is transforming the world.,English,output_245.mp3,117
Image_Text,Artificial Intelligence is transforming the world.,English,output_246.mp3,64
Typed_Text,Text to Speech systems improve accessibility.,English,output_247.mp3,106
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_248.mp3,112
Image_Text,Machine learning models require clean data.,English,output_249.mp3,91
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_250.mp3,48
Typed_Text,Machine learning models require clean data.,English,output_251.mp3,114
PDF_Text,Financial markets react to global events.,English,output_252.mp3,149
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_253.mp3,96
PDF_Text,Financial markets react to global events.,English,output_254.mp3,61
Typed_Text,Artificial Intelligence is transforming the world.,English,output_255.mp3,73
Typed_Text,Artificial Intelligence is transforming the world.,English,output_256.mp3,125
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_257.mp3,140
Image_Text,Financial markets react to global events.,English,output_258.mp3,30
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_259.mp3,104
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_260.mp3,31
Typed_Text,Education technology enhances remote learning.,English,output_261.mp3,54
Image_Text,Text to Speech systems improve accessibility.,English,output_262.mp3,69
Typed_Text,Text to Speech systems improve accessibility.,English,output_263.mp3,58
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_264.mp3,67
Typed_Text,Optical Character Recognition extracts text from images.,English,output_265.mp3,52
PDF_Text,Financial markets react to global events.,English,output_266.mp3,99
Typed_Text,Financial markets react to global events.,English,output_267.mp3,83
PDF_Text,Financial markets react to global events.,English,output_268.mp3,27
PDF_Text,Artificial Intelligence is transforming the world.,English,output_269.mp3,99
Typed_Text,Optical Character Recognition extracts text from images.,English,output_270.mp3,87
PDF_Text,Education technology enhances remote learning.,English,output_271.mp3,24
PDF_Text,Optical Character Recognition extracts text from images.,English,output_272.mp3,91
Image_Text,Machine learning models require clean data.,English,output_273.mp3,109
PDF_Text,Machine learning models require clean data.,English,output_274.mp3,120
Typed_Text,Artificial Intelligence is transforming the world.,English,output_275.mp3,24
Image_Text,Artificial Intelligence is transforming the world.,English,output_276.mp3,107
PDF_Text,Financial markets react to global events.,English,output_277.mp3,78
Image_Text,Machine learning models require clean data.,English,output_278.mp3,110
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_279.mp3,22
Typed_Text,Text to Speech systems improve accessibility.,English,output_280.mp3,43
Image_Text,Artificial Intelligence is transforming the world.,English,output_281.mp3,91
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_282.mp3,42
Typed_Text,Optical Character Recognition extracts text from images.,English,output_283.mp3,102
Typed_Text,Machine learning models require clean data.,English,output_284.mp3,27
PDF_Text,Education technology enhances remote learning.,English,output_285.mp3,97
PDF_Text,Financial markets react to global events.,English,output_286.mp3,136
Typed_Text,Machine learning models require clean data.,English,output_287.mp3,83
PDF_Text,Financial markets react to global events.,English,output_288.mp3,45
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_289.mp3,93
Image_Text,Machine learning models require clean data.,English,output_290.mp3,73
Image_Text,Optical Character Recognition extracts text from images.,English,output_291.mp3,32
Image_Text,Text to Speech systems improve accessibility.,English,output_292.mp3,128
Image_Text,Education technology enhances remote learning.,English,output_293.mp3,119
PDF_Text,Text to Speech systems improve accessibility.,English,output_294.mp3,35
Typed_Text,Text to Speech systems improve accessibility.,English,output_295.mp3,120
Typed_Text,Optical Character Recognition extracts text from images.,English,output_296.mp3,33
Image_Text,Optical Character Recognition extracts text from images.,English,output_297.mp3,123
Typed_Text,Optical Character Recognition extracts text from images.,English,output_298.mp3,63
PDF_Text,Artificial Intelligence is transforming the world.,English,output_299.mp3,96
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_300.mp3,114
Typed_Text,Optical Character Recognition extracts text from images.,English,output_301.mp3,94
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_302.mp3,117
PDF_Text,Text to Speech systems improve accessibility.,English,output_303.mp3,117
Typed_Text,Machine learning models require clean data.,English,output_304.mp3,116
PDF_Text,Artificial Intelligence is transforming the world.,English,output_305.mp3,24
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_306.mp3,147
Typed_Text,Education technology enhances remote learning.,English,output_307.mp3,60
Typed_Text,Optical Character Recognition extracts text from images.,English,output_308.mp3,114
PDF_Text,Artificial Intelligence is transforming the world.,English,output_309.mp3,44
PDF_Text,Artificial Intelligence is transforming the world.,English,output_310.mp3,56
Image_Text,Optical Character Recognition extracts text from images.,English,output_311.mp3,123
Image_Text,Education technology enhances remote learning.,English,output_312.mp3,124
Image_Text,Education technology enhances remote learning.,English,output_313.mp3,69
Image_Text,Text to Speech systems improve accessibility.,English,output_314.mp3,55
Image_Text,Financial markets react to global events.,English,output_315.mp3,52
Image_Text,Financial markets react to global events.,English,output_316.mp3,40
Typed_Text,Education technology enhances remote learning.,English,output_317.mp3,148
PDF_Text,Optical Character Recognition extracts text from images.,English,output_318.mp3,137
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_319.mp3,102
Typed_Text,Text to Speech systems improve accessibility.,English,output_320.mp3,114
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_321.mp3,86
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_322.mp3,63
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_323.mp3,34
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_324.mp3,145
PDF_Text,Machine learning models require clean data.,English,output_325.mp3,65
Typed_Text,Financial markets react to global events.,English,output_326.mp3,61
Image_Text,Education technology enhances remote learning.,English,output_327.mp3,90
PDF_Text,Artificial Intelligence is transforming the world.,English,output_328.mp3,72
PDF_Text,Education technology enhances remote learning.,English,output_329.mp3,65
PDF_Text,Artificial Intelligence is transforming the world.,English,output_330.mp3,88
PDF_Text,Machine learning models require clean data.,English,output_331.mp3,34
Typed_Text,Financial markets react to global events.,English,output_332.mp3,75
Image_Text,Healthcare systems rely on predictive analytics.,English,output_333.mp3,68
Typed_Text,Financial markets react to global events.,English,output_334.mp3,147
Typed_Text,Education technology enhances remote learning.,English,output_335.mp3,43
Typed_Text,Artificial Intelligence is transforming the world.,English,output_336.mp3,135
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_337.mp3,51
PDF_Text,Optical Character Recognition extracts text from images.,English,output_338.mp3,132
Image_Text,Education technology enhances remote learning.,English,output_339.mp3,35
Typed_Text,Optical Character Recognition extracts text from images.,English,output_340.mp3,31
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_341.mp3,90
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_342.mp3,70
PDF_Text,Education technology enhances remote learning.,English,output_343.mp3,29
PDF_Text,Machine learning models require clean data.,English,output_344.mp3,58
Image_Text,Artificial Intelligence is transforming the world.,English,output_345.mp3,137
Image_Text,Artificial Intelligence is transforming the world.,English,output_346.mp3,47
PDF_Text,Machine learning models require clean data.,English,output_347.mp3,115
Typed_Text,Text to Speech systems improve accessibility.,English,output_348.mp3,107
Typed_Text,Financial markets react to global events.,English,output_349.mp3,82
PDF_Text,Financial markets react to global events.,English,output_350.mp3,116
PDF_Text,Education technology enhances remote learning.,English,output_351.mp3,108
PDF_Text,Optical Character Recognition extracts text from images.,English,output_352.mp3,40
Typed_Text,Artificial Intelligence is transforming the world.,English,output_353.mp3,65
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_354.mp3,48
Image_Text,Optical Character Recognition extracts text from images.,English,output_355.mp3,148
Image_Text,Machine learning models require clean data.,English,output_356.mp3,79
Image_Text,Artificial Intelligence is transforming the world.,English,output_357.mp3,118
Image_Text,Text to Speech systems improve accessibility.,English,output_358.mp3,101
Image_Text,Education technology enhances remote learning.,English,output_359.mp3,93
Typed_Text,Text to Speech systems improve accessibility.,English,output_360.mp3,137
Image_Text,Text to Speech systems improve accessibility.,English,output_361.mp3,107
Typed_Text,Financial markets react to global events.,English,output_362.mp3,21
PDF_Text,Machine learning models require clean data.,English,output_363.mp3,133
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_364.mp3,115
Image_Text,Text to Speech systems improve accessibility.,English,output_365.mp3,109
PDF_Text,Artificial Intelligence is transforming the world.,English,output_366.mp3,100
Image_Text,Machine learning models require clean data.,English,output_367.mp3,147
Typed_Text,Optical Character Recognition extracts text from images.,English,output_368.mp3,79
Image_Text,Optical Character Recognition extracts text from images.,English,output_369.mp3,123
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_370.mp3,66
Image_Text,Optical Character Recognition extracts text from images.,English,output_371.mp3,67
Image_Text,Artificial Intelligence is transforming the world.,English,output_372.mp3,107
Image_Text,Text to Speech systems improve accessibility.,English,output_373.mp3,28
Image_Text,Machine learning models require clean data.,English,output_374.mp3,85
Typed_Text,Optical Character Recognition extracts text from images.,English,output_375.mp3,122
Image_Text,Education technology enhances remote learning.,English,output_376.mp3,83
PDF_Text,Financial markets react to global events.,English,output_377.mp3,52
Image_Text,Artificial Intelligence is transforming the world.,English,output_378.mp3,128
Image_Text,Optical Character Recognition extracts text from images.,English,output_379.mp3,94
Image_Text,Education technology enhances remote learning.,English,output_380.mp3,95
Image_Text,Deep learning enables computer vision breakthroughs.,English,output_381.mp3,87
PDF_Text,Text to Speech systems improve accessibility.,English,output_382.mp3,39
PDF_Text,Financial markets react to global events.,English,output_383.mp3,78
Typed_Text,Machine learning models require clean data.,English,output_384.mp3,35
Image_Text,Text to Speech systems improve accessibility.,English,output_385.mp3,85
Typed_Text,Machine learning models require clean data.,English,output_386.mp3,21
Typed_Text,Machine learning models require clean data.,English,output_387.mp3,32
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_388.mp3,139
Typed_Text,Optical Character Recognition extracts text from images.,English,output_389.mp3,52
Image_Text,Healthcare systems rely on predictive analytics.,English,output_390.mp3,83
PDF_Text,Artificial Intelligence is transforming the world.,English,output_391.mp3,54
Image_Text,Artificial Intelligence is transforming the world.,English,output_392.mp3,47
Typed_Text,Machine learning models require clean data.,English,output_393.mp3,95
Typed_Text,Machine learning models require clean data.,English,output_394.mp3,109
Image_Text,Text to Speech systems improve accessibility.,English,output_395.mp3,101
PDF_Text,Optical Character Recognition extracts text from images.,English,output_396.mp3,23
Typed_Text,Artificial Intelligence is transforming the world.,English,output_397.mp3,83
Typed_Text,Deep learning enables computer vision breakthroughs.,English,output_398.mp3,110
Image_Text,Financial markets react to global events.,English,output_399.mp3,23
PDF_Text,Deep learning enables computer vision breakthroughs.,English,output_400.mp3,61
Image_Text,Healthcare systems rely on predictive analytics.,English,output_401.mp3,113
PDF_Text,Healthcare systems rely on predictive analytics.,English,output_402.mp3,105
Typed_Text,Text to Speech systems improve accessibility.,English,output_403.mp3,61
Typed_Text,Text to Speech systems improve accessibility.,English,output_404.mp3,108
PDF_Text,Text to Speech systems improve accessibility.,English,output_405.mp3,142
PDF_Text,Financial markets react to global events.,English,output_406.mp3,105
PDF_Text,Text to Speech systems improve accessibility.,English,output_407.mp3,88
Typed_Text,Healthcare systems rely on predictive analytics.,English,output_408.mp3,33
Image_Text,Healthcare systems rely on predictive analytics.,English,output_409.mp3,59
